,ID,Words,Predicted labels
0,NER_0001,उनके,other
1,NER_0002,माता,other
2,NER_0003,-,other
3,NER_0004,पिता,other
4,NER_0005,तथा,other
5,NER_0006,विस्तृत,other
6,NER_0007,परिवार,other
7,NER_0008,अर्मीनियाई,other
8,NER_0009,था,other
9,NER_0010,और,other
10,NER_0011,उस,other
11,NER_0012,समय,other
12,NER_0013,के,other
13,NER_0014,उस्मानी,other
14,NER_0015,साम्राज्य,other
15,NER_0016,के,other
16,NER_0017,क्षेत्र,other
17,NER_0018,से,other
18,NER_0019,अमेरिका,location
19,NER_0020,के,other
20,NER_0021,कैलिफ़ोर्निया,other
21,NER_0022,राज्य,location
22,NER_0023,के,other
23,NER_0024,फ्रेज़नो,other
24,NER_0025,शहर,other
25,NER_0026,में,other
26,NER_0027,आ,other
27,NER_0028,बसा,other
28,NER_0029,था,other
29,NER_0030,.,other
30,NER_0031,newline,other
31,NER_0032,कुणज,other
32,NER_0033,-,other
33,NER_0034,कोलागाड,other
34,NER_0035,-,other
35,NER_0036,१,number
36,NER_0037,nan,other
37,NER_0038,चौबटाखाल,other
38,NER_0039,तहसील,location
39,NER_0040,में,other
40,NER_0041,भारत,location
41,NER_0042,के,other
42,NER_0043,उत्तराखण्ड,other
43,NER_0044,राज्य,location
44,NER_0045,के,other
45,NER_0046,अन्तर्गत,other
46,NER_0047,गढ़वाल,location
47,NER_0048,मण्डल,location
48,NER_0049,के,other
49,NER_0050,पौड़ी,location
50,NER_0051,जिले,location
51,NER_0052,का,other
52,NER_0053,एक,other
53,NER_0054,गांव,location
54,NER_0055,है,other
55,NER_0056,.,other
56,NER_0057,newline,other
57,NER_0058,इसमें,other
58,NER_0059,छह,other
59,NER_0060,रिसॉर्ट,other
60,NER_0061,हैं,other
61,NER_0062,.,other
62,NER_0063,newline,other
63,NER_0064,शमीमुल,other
64,NER_0065,हक,other
65,NER_0066,nan,other
66,NER_0067,भारत,location
67,NER_0068,के,other
68,NER_0069,उत्तर,location
69,NER_0070,प्रदेश,location
70,NER_0071,की,other
71,NER_0072,सोलहवीं,other
72,NER_0073,विधानसभा,other
73,NER_0074,सभा,other
74,NER_0075,में,other
75,NER_0076,विधायक,other
76,NER_0077,हैं,other
77,NER_0078,.,other
78,NER_0079,newline,other
79,NER_0080,फिल्म,other
80,NER_0081,एक,other
81,NER_0082,पंजाबी,other
82,NER_0083,लड़की,other
83,NER_0084,की,other
84,NER_0085,कहानी,other
85,NER_0086,है,other
86,NER_0087,nan,other
87,NER_0088,जिसकी,other
88,NER_0089,ट्रेन,other
89,NER_0090,में,other
90,NER_0091,मुंबई,location
91,NER_0092,के,other
92,NER_0093,एक,other
93,NER_0094,उद्योगपति,other
94,NER_0095,से,other
95,NER_0096,मुलाकात,other
96,NER_0097,होती,other
97,NER_0098,है,other
98,NER_0099,nan,other
99,NER_0100,जो,other
100,NER_0101,जिंदगी,other
101,NER_0102,से,other
102,NER_0103,उदास,other
103,NER_0104,है,other
104,NER_0105,.,other
105,NER_0106,newline,other
106,NER_0107,किशुनपुर,other
107,NER_0108,सहकुंड,other
108,NER_0109,nan,other
109,NER_0110,भागलपुर,location
110,NER_0111,nan,other
111,NER_0112,बिहार,location
112,NER_0113,स्थित,other
113,NER_0114,एक,other
114,NER_0115,गांव,location
115,NER_0116,है,other
116,NER_0117,.,other
117,NER_0118,newline,other
118,NER_0119,मझेड्ा,other
119,NER_0120,nan,other
120,NER_0121,कांडा,other
121,NER_0122,तहसील,location
122,NER_0123,में,other
123,NER_0124,भारत,location
124,NER_0125,के,other
125,NER_0126,उत्तराखण्ड,other
126,NER_0127,राज्य,location
127,NER_0128,के,other
128,NER_0129,अन्तर्गत,other
129,NER_0130,कुमाऊं,other
130,NER_0131,मण्डल,location
131,NER_0132,के,other
132,NER_0133,बागेश्वर,location
133,NER_0134,जिले,location
134,NER_0135,का,other
135,NER_0136,एक,other
136,NER_0137,गांव,location
137,NER_0138,है,other
138,NER_0139,.,other
139,NER_0140,newline,other
140,NER_0141,रेटिना,other
141,NER_0142,डिस्प्ले,other
